thumb,index,middle,ring,little,result
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
0,0,0,0,0,paper
1,1,0,0,0,paper
1,1,0,0,0,paper
0,1,0,0,0,paper
1,1,0,0,0,paper
0,1,0,0,0,paper
0,1,0,0,0,paper
0,1,0,0,0,paper
0,1,0,0,0,paper
0,1,0,0,0,paper
0,1,0,0,0,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
1,1,1,1,1,paper
